Evan Engram,64,722,6,11,0,35,37,0.578,0,0,115,2017
Stefon Diggs,64,849,8,14,3,59,42,0.6559999999999999,0,0,95,2017
Jason Witten,63,560,5,3,0,28,26,0.413,1,0,87,2017
Devin Funchess,63,840,8,15,1,44,40,0.635,0,0,113,2017
Robby Anderson,63,941,7,17,3,69,36,0.5710000000000001,0,0,114,2017
Cooper Kupp,62,869,5,12,2,64,42,0.677,1,0,95,2017
Nelson Agholor,62,768,8,9,3,72,35,0.565,0,0,95,2017
Benjamin Watson,61,522,4,5,0,33,30,0.49200000000000005,1,0,79,2017
Marvin Jones,61,1101,9,20,6,58,44,0.721,0,0,108,2017
Adam Humphries,61,631,1,5,1,43,34,0.557,1,0,83,2017
Danny Amendola,61,659,2,7,0,27,39,0.639,1,0,86,2017
Kendall Wright,59,614,1,1,0,22,33,0.5589999999999999,0,0,91,2017
Sterling Shepard,59,731,2,7,3,77,36,0.61,1,0,84,2017
LeSean McCoy,59,448,2,3,0,39,23,0.39,0,0,77,2017
Carlos Hyde,59,350,0,0,0,18,17,0.28800000000000003,0,0,87,2017
Kenny Stills,58,847,6,14,2,61,36,0.621,4,0,106,2017
JuJu Smith-Schuster,58,917,7,12,6,97,39,0.672,0,0,80,2017
Mark Ingram,58,416,0,3,1,54,19,0.32799999999999996,1,0,71,2017
Melvin Gordon,58,476,4,4,1,49,22,0.379,0,0,83,2017
Larry Fitzgerald,107,1023,6,8,0,32,59,0.551,2,0,150,2016
Antonio Brown,106,1284,12,22,3,51,64,0.604,0,0,155,2016
Odell Beckham,101,1367,10,20,6,75,65,0.644,2,0,169,2016
Julian Edelman,98,1106,3,11,1,77,55,0.561,1,0,158,2016
Jordy Nelson,97,1257,14,19,4,60,62,0.639,1,0,152,2016
Mike Evans,96,1321,12,15,1,45,81,0.8440000000000001,0,0,175,2016
Jarvis Landry,94,1136,4,16,3,71,52,0.5529999999999999,1,0,131,2016
Doug Baldwin,94,1128,7,16,5,59,52,0.5529999999999999,1,0,126,2016
Michael Thomas,92,1137,9,18,1,46,62,0.674,2,0,122,2016
Golden Tate,91,1077,4,13,4,67,46,0.505,1,0,135,2016
T.Y. Hilton,91,1448,6,28,2,63,66,0.725,0,0,156,2016
Demaryius Thomas,90,1083,5,10,3,55,50,0.556,2,0,145,2016
Michael Crabtree,89,1003,8,10,3,56,56,0.629,2,0,145,2016
Dennis Pitta,86,729,2,4,0,30,37,0.43,1,0,119,2016
Travis Kelce,85,1125,4,14,3,80,55,0.647,0,0,117,2016
Stefon Diggs,84,903,3,10,3,46,47,0.56,0,0,111,2016
Kyle Rudolph,83,840,7,11,1,44,50,0.602,0,0,132,2016
Julio Jones,83,1409,6,27,5,75,64,0.7709999999999999,0,0,129,2016
Amari Cooper,83,1153,5,21,2,64,47,0.5660000000000001,2,0,132,2016
Greg Olsen,80,1073,3,14,1,78,54,0.675,0,0,127,2016
David Johnson,80,879,4,13,1,58,42,0.525,0,0,120,2016
Emmanuel Sanders,79,1032,5,12,2,64,50,0.633,1,0,139,2016
Pierre Garcon,79,1041,3,15,3,70,52,0.6579999999999999,0,0,116,2016
DeAndre Hopkins,78,954,4,10,2,51,56,0.718,0,0,150,2016
Zach Ertz,78,816,4,9,0,30,42,0.5379999999999999,0,0,107,2016
Julio Jones,136,1871,8,25,5,70,93,0.684,3,0,204,2015
Antonio Brown,136,1834,10,25,8,59,84,0.618,1,0,195,2015
DeAndre Hopkins,111,1521,11,19,3,61,83,0.748,1,0,192,2015
Jarvis Landry,110,1157,4,10,3,50,60,0.545,0,0,165,2015
Brandon Marshall,109,1502,14,19,5,69,76,0.6970000000000001,3,0,174,2015
Larry Fitzgerald,109,1215,9,17,1,44,65,0.596,2,0,145,2015
Demaryius Thomas,105,1304,6,14,4,72,63,0.6,2,0,176,2015
Odell Beckham,96,1450,13,19,8,87,67,0.698,2,0,159,2015
Delanie Walker,94,1088,6,13,2,61,52,0.5529999999999999,0,0,134,2015
Golden Tate,90,813,6,7,1,43,50,0.556,1,0,128,2015
Calvin Johnson,88,1214,9,16,3,57,65,0.7390000000000001,1,0,150,2015
Jordan Reed,87,952,11,14,0,32,54,0.621,3,0,114,2015
Jeremy Maclin,87,1088,8,14,3,61,49,0.563,2,0,124,2015
A.J. Green,86,1297,10,19,5,80,63,0.733,1,0,132,2015
Jordan Matthews,85,997,8,14,3,78,44,0.518,2,0,127,2015
Michael Crabtree,85,922,9,15,0,38,45,0.529,1,0,146,2015
Brandin Cooks,84,1138,9,18,5,71,45,0.536,1,0,129,2015
Danny Woodhead,80,755,6,7,1,61,39,0.488,0,0,106,2015
Allen Robinson,80,1400,14,31,6,90,61,0.763,0,0,153,2015
Theo Riddick,80,697,3,7,0,34,32,0.4,0,0,99,2015
Eric Decker,80,1027,12,16,0,35,60,0.75,1,0,131,2015
Randall Cobb,79,829,6,11,1,53,42,0.532,0,0,129,2015
Gary Barnidge,79,1043,9,16,1,40,52,0.6579999999999999,0,0,123,2015
Doug Baldwin,78,1069,14,16,3,80,47,0.603,1,0,104,2015
Jason Witten,77,713,3,4,0,35,36,0.46799999999999997,1,0,104,2015
Antonio Brown,129,1698,13,19,4,63,85,0.659,1,0,182,2014
Demaryius Thomas,111,1619,11,25,6,86,69,0.622,0,0,184,2014
Julio Jones,104,1593,6,31,3,79,76,0.731,2,0,164,2014
Matt Forte,102,808,4,7,1,56,28,0.275,1,0,130,2014
Emmanuel Sanders,101,1404,9,24,4,48,69,0.6829999999999999,1,0,141,2014
Golden Tate,99,1331,4,17,5,73,58,0.586,1,0,142,2014
Jordy Nelson,98,1519,13,19,8,80,71,0.7240000000000001,0,0,151,2014
Julian Edelman,92,972,4,7,3,69,49,0.5329999999999999,2,0,135,2014
Randall Cobb,91,1287,12,24,3,70,71,0.78,1,0,126,2014
Odell Beckham,91,1305,12,16,6,80,57,0.626,0,0,132,2014
Martellus Bennett,90,916,6,11,0,37,43,0.478,0,0,129,2014
Dez Bryant,88,1320,16,22,5,68,60,0.682,0,0,138,2014
Jeremy Maclin,85,1318,10,21,7,72,56,0.659,0,0,143,2014
Andre Johnson,85,936,3,14,0,35,49,0.5760000000000001,3,0,147,2014
Alshon Jeffery,85,1133,10,17,3,74,60,0.706,0,0,145,2014
Jimmy Graham,85,889,10,8,0,29,54,0.635,2,0,124,2014
Greg Olsen,84,1008,6,9,0,38,56,0.667,1,0,122,2014
Jarvis Landry,84,758,5,6,0,25,48,0.5710000000000001,1,0,111,2014
Anquan Boldin,83,1062,5,14,1,76,56,0.675,0,0,130,2014
Le'Veon Bell,83,854,3,10,3,48,41,0.494,0,0,105,2014
T.Y. Hilton,82,1345,7,21,6,73,62,0.7559999999999999,3,0,130,2014
Rob Gronkowski,82,1124,12,19,1,46,60,0.732,0,0,130,2014
Roddy White,80,921,7,14,0,39,54,0.675,3,0,122,2014
Steve Smith,79,1065,6,15,5,80,45,0.57,2,0,133,2014
Keenan Allen,77,783,4,6,0,35,41,0.532,1,0,121,2014
Pierre Garcon,113,1346,5,16,2,53,60,0.531,1,0,184,2013
Antonio Brown,110,1499,8,23,6,56,69,0.627,0,0,165,2013
Andre Johnson,109,1407,5,20,3,62,69,0.633,0,0,181,2013
Julian Edelman,105,1056,6,9,2,44,54,0.514,0,0,151,2013
Brandon Marshall,100,1295,12,16,3,44,70,0.7,0,0,163,2013
A.J. Green,98,1426,11,18,9,82,65,0.6629999999999999,1,0,180,2013
Kendall Wright,94,1079,2,17,1,45,52,0.5529999999999999,2,0,140,2013
Dez Bryant,93,1233,13,14,4,79,67,0.72,3,0,160,2013
Demaryius Thomas,92,1430,14,19,5,78,66,0.7170000000000001,1,0,143,2013
Alshon Jeffery,89,1421,7,20,7,80,62,0.6970000000000001,3,0,150,2013
Josh Gordon,87,1646,9,30,9,95,64,0.736,0,0,159,2013
Eric Decker,87,1288,11,19,6,61,63,0.7240000000000001,2,0,137,2013
Jimmy Graham,86,1215,16,19,5,56,61,0.7090000000000001,0,0,144,2013
Jordy Nelson,85,1314,8,22,3,76,60,0.706,0,0,126,2013
Harry Douglas,85,1067,2,13,5,80,47,0.5529999999999999,2,0,133,2013
Anquan Boldin,85,1179,7,19,3,63,62,0.7290000000000001,0,0,130,2013
Calvin Johnson,84,1492,12,22,5,87,69,0.821,1,0,156,2013
Tony Gonzalez,83,859,8,5,0,25,56,0.675,0,0,119,2013
DeSean Jackson,82,1332,9,25,8,61,60,0.732,1,0,126,2013
T.Y. Hilton,82,1083,5,13,6,73,46,0.561,0,0,138,2013
Larry Fitzgerald,82,954,10,11,3,75,49,0.598,1,0,136,2013
Jordan Cameron,80,917,7,11,1,53,47,0.588,1,0,117,2013
Vincent Jackson,78,1224,7,19,5,60,60,0.769,1,0,159,2013
Pierre Thomas,77,513,3,5,0,29,21,0.273,1,0,84,2013
Antonio Gates,77,872,4,11,1,56,49,0.636,2,0,116,2013
Danny Woodhead,76,605,6,4,0,39,30,0.395,1,0,86,2013
Brian Hartline,76,1016,4,14,1,50,53,0.6970000000000001,0,0,134,2013
Marques Colston,75,943,5,13,0,35,54,0.72,0,0,110,2013
Matt Forte,74,594,3,5,0,34,23,0.311,0,0,94,2013
Jason Witten,73,851,8,13,0,34,44,0.603,0,0,111,2013
Wes Welker,73,778,10,12,0,33,49,0.6709999999999999,0,0,110,2013
Mike Wallace,73,930,5,11,5,57,46,0.63,0,0,142,2013
Greg Olsen,73,816,6,12,0,31,44,0.603,0,0,109,2013
Victor Cruz,73,998,4,10,3,70,45,0.616,1,0,123,2013
Darren Sproles,71,604,2,7,1,48,24,0.33799999999999997,0,0,89,2013
Keenan Allen,71,1046,8,16,1,43,54,0.7609999999999999,1,0,105,2013
Jamaal Charles,70,693,7,8,2,71,32,0.457,0,0,104,2013
Charles Clay,69,759,6,10,3,67,36,0.522,0,0,103,2013
Greg Jennings,68,804,4,11,2,70,36,0.529,0,0,106,2013
Emmanuel Sanders,67,740,6,12,3,55,37,0.552,1,0,112,2013
Cecil Shorts,66,777,3,10,1,59,41,0.621,0,0,125,2013
Julius Thomas,65,788,12,10,2,74,41,0.631,0,0,89,2013
Torrey Smith,65,1128,4,20,8,74,48,0.738,1,0,139,2013
Michael Floyd,65,1041,5,17,3,91,48,0.738,0,0,112,2013
Martellus Bennett,65,759,5,11,1,43,40,0.615,1,0,96,2013
Golden Tate,64,898,5,12,3,80,41,0.6409999999999999,1,0,98,2013
Steve Smith,64,745,4,4,2,44,44,0.688,0,0,109,2013
Roddy White,63,711,3,8,0,39,37,0.5870000000000001,2,0,99,2013
Delanie Walker,60,571,6,5,0,33,30,0.5,1,0,86,2013
Rod Streater,60,888,4,10,3,66,39,0.65,1,0,100,2013
Calvin Johnson,122,1964,5,40,5,53,92,0.754,3,0,205,2012
Wes Welker,118,1354,6,13,2,59,72,0.61,2,0,174,2012
Brandon Marshall,118,1508,11,18,2,56,75,0.636,2,0,194,2012
Andre Johnson,112,1598,4,23,5,60,79,0.705,0,0,164,2012
